,text,mbti,ie,ns,ft,pj
49,어 그럼 서로 짝꿍 누구 와요?,esfp,e,s,f,p
51,얘는 나랑 똑같은 사람 그 키 큰 분!,estp,e,s,t,p
53,아~ 오빠는? 이게 뭐야?,esfp,e,s,f,p
56,쵸단님 또..? 아 나는 쵸단님 4일 내내 보네,enfj,e,n,f,j
58,저 한 번도 못 봤어요 이제 보는 거예요,estj,e,s,t,j
59,아 어떡해~ 나 근데 INTJ 님이 나 싫어할 거 같아 뭔가,esfp,e,s,f,p
60,INTJ 성격이... 그런 성격이 아니던데?,enfj,e,n,f,j
61,진짜 근데 그런 분 아니야 말해봤는데 사람이 잘 들어 진짜 잘 들어,estj,e,s,t,j
62,그냥... 선해!,estp,e,s,t,p
63,내가 INTJ에 대한 편견이 있는 거 같아,esfp,e,s,f,p
64,안녕하세요 안녕하세요~,enfp,e,n,f,p
65,안녕하세요~ 아 아직 식사하고 계시는구나,entp,e,n,t,p
67,어 안녕하세요~ 안녕하세요,estp,e,s,t,p
68,또 봐요ㅋㅋ 계속 똑같은 거 같아ㅋㅋ,enfj,e,n,f,j
69,오늘 아예 그 뭐야 요걸로 어,entj,e,n,t,j
70,와~오 마이 파트널~,esfj,e,s,f,j
72,아 나... 할 거 안 갖고 왔다 저 방에서,enfp,e,n,f,p
73,오늘 보드게임 할까요?,esfj,e,s,f,j
76,어? 보드게임 천재들이네,intp,i,n,t,p
79,아 나 어제ㅋㅋ,intp,i,n,t,p
80,할리갈리 진짜 잘해,esfj,e,s,f,j
81,어제 엄청 놀렸거든요,isfp,i,s,f,p
82,이렇게 해가지고 졌어!,intp,i,n,t,p
83,와 자기야 미쳤어! 와우 자기야 그렇지!,esfj,e,s,f,j
84,가자 자기야 그렇지!,esfj,e,s,f,j
86,와.. 진짜로..,intp,i,n,t,p
87,내가 봤을 때는 멘탈이 많이 흔들렸어 지금 ㅋㅋ,intj,i,n,t,j
88,정신이 혼미..,intp,i,n,t,p
89,근데 엄청 놀리셨다고...,isfp,i,s,f,p
90,아니 게임 재능이 1도 없어,entj,e,n,t,j
91,저도 제가 이겼거든요,isfp,i,s,f,p
92,아니 가져와서 난 개 잘하는 줄 알았는데 아예 아예 전체 흐름을 안 보고 이것만 봐 그러니까,entj,e,n,t,j
93,그... 좀 못할 수도 있지 너무 갈구지 맙시다,intp,i,n,t,p
94,에드머님 와야 되는 거 아냐?,enfj,e,n,f,j
96,아 지금 씻고 있어요,intj,i,n,t,j
99,지금 일어나가지고,infj,i,n,f,j
101,아 역시 ISTP 문제야~,estp,e,s,t,p
102,열한 시에 일어났어 열한 시에,intj,i,n,t,j
104,쳐 볼라 했어 안되더라고 근데~ 너무 빨라서,intp,i,n,t,p
106,왜 안 갔... 왜.. 왔어요?,istp,i,s,t,p
107,어 저 방으로 넘어가셔야 되는데?,isfp,i,s,f,p
108,너 너 저 방 가야 돼ㅋㅋ 오늘 P랑 그게 아니야,entj,e,n,t,j
109,아 그 사이에 없었어?ㅋㅋ,enfp,e,n,f,p
110,어 바뀌었어 니... 너랑 완전 다른 사람 만나러 가는 거야,entj,e,n,t,j
111,아유 안녕하세요~,istp,i,s,t,p
112,아 안녕하세요~,enfj,e,n,f,j
115,쪼끔 늦은 거 같은데,estp,e,s,t,p
116,사알짝.. 분위기가 바뀌는~,enfj,e,n,f,j
117,요리 안 하는 사람들 오세요~,esfp,e,s,f,p
119,형 오늘 안 볼 줄 알았는데 또 보네요,estj,e,s,t,j
121,그냥 볼건데? 포커스 하나 이쪽에 맞춰져 있어야지,entj,e,n,t,j
123,어? 자리 바꿔드릴까요?,isfj,i,s,f,j
125,그래 줄래요? 밥 다 먹었어요?,entj,e,n,t,j
126,자리 바꿔드릴까요ㅋㅋ,entp,e,n,t,p
127,고마워요 난 빨리 빨리라도 친해지고 싶으니까,entj,e,n,t,j
129,아~ 어떡해...,isfp,i,s,f,p
131,안녕하세요? 아 진짜ㅋㅋㅋ 아 그 ESFP 친구가 있다고 하셨잖아요~,esfp,e,s,f,p
133,어 그 친구는 어떤... 사람이야요? 사람이에요?,esfp,e,s,f,p
134,일단 엄청 밝고! 다 드러나요 무슨...,intj,i,n,t,j
135,드러.. 무슨 생각 하는지?,esfp,e,s,f,p
136,네 무슨 생각 하는지 무슨... 기분인지 기분이 좋은지 안 좋은지 약간 피곤한지 약간 이런 게 다 드러나서 되게 에너지 넘치고 맞아요?,intj,i,n,t,j
137,네! 제 제 INTJ 친구는요~,esfp,e,s,f,p
139,엄청~ 무뚝뚝해요 그리고! 그리고 사람들마다 대하는 가면들이 따로 있어요,esfp,e,s,f,p
141,맞죠! 그래서 지금은 되게 잘 들어주시고 이렇지만 또 혼자 있을 때 모습은 다른...,esfp,e,s,f,p
143,그리고 엄청 잔 생각이 많아요 진짜...,esfp,e,s,f,p
144,아~ 맞아요 생각 진짜 많아요,intj,i,n,t,j
145,혼자 있을 때 안 좋은 생각밖에 안 해요,esfp,e,s,f,p
146,그리고 걔가 엄청 계획적이어서 최고 나쁜 일까지 계획을 해서 좀 부정적이게 되는 거 같아요,esfp,e,s,f,p
147,아 맞아요 아 부정적...,intj,i,n,t,j
148,그래서.. 좀.. 걜 만날 때마다 넌 왜 그렇게 부정적으로 생각하냐? 하거든 넌 왜 이렇게 계획이 없냐? 서로 좀 그래요,esfp,e,s,f,p
149,뭐 도와드릴까요?,isfj,i,s,f,j
150,아이 괜찮아요 괜찮아요,entp,e,n,t,p
151,뭐 하세요? 음식?,isfj,i,s,f,j
152,제육볶음 해가지고~ 그냥 재워놓을라고요,entp,e,n,t,p
153,제육볶음? 너무 좋아요~ 저 진짜 이런 식사 하고 싶었거든요,isfj,i,s,f,j
154,아 못했구나.. 아 맞네 나랑 계속 떨어져 있어가지고ㅋㅋ,entp,e,n,t,p
155,약간 라면 많이 먹어가지고 저,isfj,i,s,f,j
156,나랑.. 나랑 떨어져 있어서 이런 식사류를 못 먹었대,entp,e,n,t,p
157,ISFP 님이랑 저랑 살이 많이 빠졌어요,isfj,i,s,f,j
159,저 살 엄청 쪘어요,entp,e,n,t,p
160,아니 라면만 먹긴 했는데 살이 빠졌더라고요 저거 먹어서 그런 거 같아요 가르시니아! 아니 목욕하는데 갈비뼈가 막 다 나왔더라고~,isfj,i,s,f,j
161,어 이걸? 어ㅋㅋ,entp,e,n,t,p
162,아 반대라고 했지?,enfj,e,n,f,j
164,아 얘길 하고 싶었다고 해가지고,enfj,e,n,f,j
165,음~ 네 뭔가 기회가 없을 줄 알았는데 바로 생겼네요 ,infp,i,n,f,p
166,원래 INFP 셨다고...,infp,i,n,f,p
167,아예 아예 다소심하고 말 안하고 사람들이 말 걸면 일단은 뒤로 물러나고 울고 그랬는데 지금은 이제 안 그래요,estj,e,s,t,j
168,상상이 안 돼요,infp,i,n,f,p
169,나도 지금은 상상을 못 하겠어,estj,e,s,t,j
170,우리가 보여준 모습에선 절대 그럴 모습이 없지?,enfj,e,n,f,j
171,난 지금도 상상이 안 가,estj,e,s,t,j
172,근데 어제 살짝 나왔어 나왔대,enfj,e,n,f,j
173,이렇게 한 명 일대일로 얘기할 때는 그게 나오는 거 같은데 쪼끔... 어려운 거 같아,estj,e,s,t,j
174,오늘 오늘 완전 표 완전 많이 받으셨던데,isfp,i,s,f,p
175,맞아요 몰표 받으셨던데,isfj,i,s,f,j
176,내가~ 로봇 인간들한테 바이러스를 좀 풀어놨거든,entj,e,n,t,j
177,아 T 분들한테~,isfj,i,s,f,j
178,나만 아직 한 표도 없어...,esfj,e,s,f,j
180,나 그래서 좀 속상했어,esfj,e,s,f,j
183,너무 일찍 자서 그래 너가,entj,e,n,t,j
184,고것도 약간 있어 어,esfj,e,s,f,j
186,너무 솔직히 솔직히 좀 너무 일찍 잤어,entj,e,n,t,j
187,고것도 있어 왜냐면 대화를 안 하니까,esfj,e,s,f,j
188,어 대화를 안 해버려서 누군지도...,entj,e,n,t,j
190,아니 잔다 그러는데 어떡해 근데,entj,e,n,t,j
191,와 진짜... 못 버티겠는 거야 못 버티겠는 거야 그러니까 오더니 그냥 와서 슬쩍 얘기하더라,entj,e,n,t,j
192,너무 착한 거 아니야?,isfj,i,s,f,j
194,잘 먹겠습니다~,enfp,e,n,f,p
196,잘 먹겠습니다 맛있게 드십쇼~,entj,e,n,t,j
200,맞아 저도 그렇게 잘하진 않잖아요,esfj,e,s,f,j
201,그거는 처음 해봐서...,intp,i,n,t,p
202,아 루미큐브는 처음이었어,esfj,e,s,f,j
204,할리갈리를 못했어,esfj,e,s,f,j
208,맞아! 약간 속상했어,esfj,e,s,f,j
209,그러니까 속상하다고 해서 마음 쓰여요 나 난 처음에도 속상했거든요 처음에 0표 받았을 때도 근데 아직도 그렇다고 하니까...,isfj,i,s,f,j
210,아 근데 처음엔 속상하지 않았거든요? 근데 첫째 날 둘째 날은 아무 생각 없었던 게 그때도 제가 그랬잖아요 이제 사람들이... 그러니까 나는 잘 묻어갔구나 그만큼 그런 생각이 들어서 아무 생각 안 들었는데 근데 막상 다 하나씩은 있는데 나만 없으니까 뭔가 속상한 거 있지,esfj,e,s,f,j
211,그러니까 오늘 할게,isfj,i,s,f,j
212,막상 다 있는데 나는 없는 거야,esfj,e,s,f,j
213,제가 오늘 줄게요 좋았어요~ 진짜,isfj,i,s,f,j
214,그래가지고 약간 좀 울컥했어,esfj,e,s,f,j
215,아니에요 억지로 그러진 마요,esfj,e,s,f,j
216,억지 아니에요~,isfj,i,s,f,j
217,어 나는 그래서 오히려 약간... 좀 내가... 별론가? 이런 생각 했어...,esfj,e,s,f,j
218,안 별로야~ 진짜 좋아~,isfj,i,s,f,j
219,나는 진짜...,esfj,e,s,f,j
220,당당하고 멋있어 기운 내요,isfj,i,s,f,j
221,생각하니까 마음 놓인다,esfj,e,s,f,j
222,속상했지 난 진짜 속상했어 그래서 첫날에 근데 그거 때문에도 좀,isfj,i,s,f,j
224,그쵸 안 운다면서 또 울어,entp,e,n,t,p
225,속상해서 눈물이 날 거 같았어요 나는,isfj,i,s,f,j
227,왜 그랭 휴지 갖다 줄까? 왜 그래~,isfj,i,s,f,j
228,나도 내가 좋아하는 사람 해야겠다 오늘 뽑아야겠다 그냥,isfj,i,s,f,j
229,아~ 이거 잠깐이었구나 뭐야 이제 진짜 J P 나누네~ 잠깐의 만남이었네,intp,i,n,t,p
231,나 오늘은 하루 종일 같이 있는 줄 알았어,entp,e,n,t,p
232,근데 나 덕분에~ 맛있는 거 먹었어요,isfj,i,s,f,j
233,막 다 하고 싶잖아 여기도 적용하고 싶고,enfp,e,n,f,p
235,미션 왔나 보다,estp,e,s,t,p
236,아 진짜... 나 소름.. 난 소름 돋았어,entj,e,n,t,j
239,모르겠어여~ 우선 한번 펴볼게요~,entj,e,n,t,j
240,저희의 첫... 두 번째 미션,istp,i,s,t,p
241,스케줄표 짜는 건가 봐!,enfp,e,n,f,p
242,시간표 싫어 싫어 안돼,isfp,i,s,f,p
244,아 우리 짜지 말장!,enfp,e,n,f,p
245,저의... 의견을 말해도 될까요?,esfp,e,s,f,p
246,네 한번 해보세요,istp,i,s,t,p
247,여섯 시까지 밥을 먹어야 되니까 한 시부터 다섯 시까지 자유시간으로 적어놓고,esfp,e,s,f,p
248,나도 그 생각 했어,enfp,e,n,f,p
249,저도 너무 좋다 생각해요 다섯 시까지 자유시간 네,isfp,i,s,f,p
250,그리고 다섯 시부터 여섯 시에 저녁 시간 해가지고 알아서 시리얼 먹어요,esfp,e,s,f,p
251,맞아 맞아 너무 좋다,isfp,i,s,f,p
252,나도 자유시간 생각했어,enfp,e,n,f,p
253,너무 좋다 진짜 좋다 진짜 좋다,isfp,i,s,f,p
254,어 머리 완전 좋아,estp,e,s,t,p
256,어 그럼 18시까지는 저녁식사를 꼭 해야 되는 거예요?,esfj,e,s,f,j
257,그 전 그냥 그 전에 넣고 설거지할 시간까지 딱 넣어야 될 거 같은데,entj,e,n,t,j
258,한 네 시 반부터 저녁 식사 준비하면은 다섯 시에 먹고 다섯 시부터 한 3~40분간 밥 먹고 그다음 20분 동안 설거지하면은 바로 끝나니까~ ,istj,i,s,t,j
259,그거는 확실하니까 그것부터 넣으면 되겠다 그거는 일단 정해졌으니까,entj,e,n,t,j
261,근데 사실 이것도 필요 없어 우리는,istp,i,s,t,p
262,뭐야! 진짜 필요 없어,enfp,e,n,f,p
263,아 J들 이거 뭐 또 이거 선 그어가면서 뻘짓하고 있을 거 생각하니까 벌써부터 속이 미어터지네,istp,i,s,t,p
264,그치 그치 한 시간마다 막 그냥...,estp,e,s,t,p
265,너무 사소한 것까지 다 적어야 되나?,istj,i,s,t,j
266,아이~ 뭐 그런 거 싫잖아 또 그런 거 어차피... 뭉태기로 가는... 뭉텅이로 가는 게 낫지 않아요?,entj,e,n,t,j
267,이행하기도 편하고,enfj,e,n,f,j
268,아니 그러니까 애초에 이런 시간표를 짜는 거는 되게 몇 년 만이라 나는 일의... 일정을 짜지,istj,i,s,t,j
269,태스크.. 기준으로?,intj,i,n,t,j
270,근데 만약 이렇게 시간 단위로 쪼개서 하면은 내가 뭐 청소할 시간이랑,istj,i,s,t,j
272,뭐.. 빨래할 시간이랑 책 읽는 시간이랑 담배 피는 시간까지 다 적어야 되나 싶어가지고,istj,i,s,t,j
273,한 시부터 여섯 시까지만 표시하고 거기서 자유시간,isfp,i,s,f,p
274,한 시부터 여섯 시까지ㅋㅋ,enfp,e,n,f,p
275,한 시부터 여섯 시까지,isfp,i,s,f,p
276,아 그냥 계속 자유시간 해 그냥 한 시부터 열 시까지,estp,e,s,t,p
278,뭐 하지? 우리 그러면은 다섯 시부터 여섯 시까지 저녁 시간?,entp,e,n,t,p
279,여기만 이렇게 그으면 안 돼요?,esfp,e,s,f,p
281,괜찮아 이대로 따라가면 돼,entp,e,n,t,p
283,어 꾸미자 꾸미자,entp,e,n,t,p
284,그럼 MBTI를 떠나서 그냥 각자의 그거에 대한 Q&A 시간!,estj,e,s,t,j
285,인생 뭐 삶 직업,istj,i,s,t,j
286,MBTI는 뭐 MBTI를 해도 되고 궁금한 거,intj,i,n,t,j
287,아 그것도 상관없고 상관없고,estj,e,s,t,j
288,궁금한 거? Q&A?,entj,e,n,t,j
289,그럼 Q&A 시간?,esfj,e,s,f,j
290,어 그렇게 가면 될 거 같아,entj,e,n,t,j
291,지금이 한 시 십..,istj,i,s,t,j
292,그냥 지금부터 해 그냥 뭐...,entj,e,n,t,j
294,한 시 반부터?,istj,i,s,t,j
295,응 한 시 반 대충 한 요쪽 그으면 될 거 같아,estj,e,s,t,j
296,왜냐면 준비하고 가자 그러면은 여기 말고 저 소파 가서 편안하게 하면 되겠네,entj,e,n,t,j
297,근데 우리~ 너무 자유시간 아냐? 근데 우리 그냥 이 지치지... 지쳐서 잠들지 않을까?,entp,e,n,t,p
298,그래도 되지 않을까?,esfp,e,s,f,p
299,그것도 나쁘지 않죠,istp,i,s,t,p
300,나쁘지 않아..?,entp,e,n,t,p
301,우리 뭐 시체놀이나 할까요?,istp,i,s,t,p
302,뭐 아님 카테고리.. 는 있어야 하지 않을까? 그러니까 자유시간 안에서 뭘 해도 되는 거잖아 그냥,entp,e,n,t,p
303,제발 카테고리 만들지 말아 줘~,estp,e,s,t,p
304,ESTP 님은 뭐 할 거예요?,entp,e,n,t,p
305,뭐 할 거예요?,entp,e,n,t,p
306,계획이 없는ㅋㅋ,enfp,e,n,f,p
307,나는 무계획이 너무 좋아 무계획!,entp,e,n,t,p
309,저는 살짝 J가 좀 많아가지고 뭐 저 계획이 있어요,isfp,i,s,f,p
310,하고 싶은 거 있.. 어 어떤 계획이 있어요?,entp,e,n,t,p
311,지금 지금 이게 지금 계획인데 지금 지금 계획을 실천해..,isfp,i,s,f,p
312,뭐.. 뭐 하.. 뭐 하고 싶어?,estp,e,s,t,p
314,나는... 나 이거... 나... 나 J가 있나 봐~,entp,e,n,t,p
315,완전 있지 완전,enfp,e,n,f,p
316,뭐.. 뭐 하고 싶어 뭐 하고 싶어?,estp,e,s,t,p
317,뭐라도 해야... 좀 생산적인 일을 하고 싶어,entp,e,n,t,p
318,생산적인 일? 난 이게 생산적인 거 같아,estp,e,s,t,p
320,네 저도 지금 이 대화 하면.. 소통하면서 지금~,isfp,i,s,f,p
321,완전 생산적인데?,enfp,e,n,f,p
322,진짜 너무 생산적이었어,isfp,i,s,f,p
323,엔돌.. 엔돌핀이 나오는 거 같은 느낌?,estp,e,s,t,p
325,그래서 나는 뭐 사진을 찍고 놀까 아니면은 뭐 뭐... 뭐 욕.. 그.. 요 그... 음악 교실 같은 거를 할까 아님 색칠...,entp,e,n,t,p
327,음악 교실은 누가 해?,enfp,e,n,f,p
329,어 지금.. 의식의 지금 흐름 흐름!,isfp,i,s,f,p
331,아 뭐 그냥 그런 것도 있으.. 나...,entp,e,n,t,p
332,아 옆에서 고양이 울어~,enfp,e,n,f,p
333,고양이 어딨어?,estp,e,s,t,p
334,우는 거 맞아?,entp,e,n,t,p
335,애옹~ 이러는데 밖에?,enfp,e,n,f,p
339,잠깐만~ 내가 갈게,entj,e,n,t,j
340,미션이다! 미션이다! 미션이다!,entp,e,n,t,p
341,미션이 또 있.. 아..,enfp,e,n,f,p
342,아니 미션 왔잖아,estp,e,s,t,p
343,그러니까 방금 이거 미션 아니야?,enfp,e,n,f,p
344,뭐야 뭐가 왔어,esfp,e,s,f,p
346,세 번째 미션까지 있는데?,entj,e,n,t,j
347,미션 생각하느라 진짜 힘드셨겠다,isfj,i,s,f,j
350,편안하게 읽어.. 읽어 줘,entj,e,n,t,j
351,아 설마! 우리가 안해가지고 미션지 바꾸는 거 아냐 계획표를?,isfp,i,s,f,p
353,제발! 야 아니야 말이 씨가 되는데,enfp,e,n,f,p
364,생각 많이 하셨네예~ 와~ 생각 많이 하셨네예~ 내가 원래 경우를... 짚고... 가는 사람인데 생각을 많이 하셨네예 이걸...,entj,e,n,t,j
367,아~ 말도 안 돼 진짜 말도 안 돼,isfp,i,s,f,p
368,근데 저기는 오히려 이거 싫어할 수도 있어,istp,i,s,t,p
369,엄청 좋아할 거 같은데?,estp,e,s,t,p
370,아냐 아냐 안 좋아해 자기들이 계획 짜 놨는데~ 바꾸라고 하면 X나 싫지~,istp,i,s,t,p
371,와~ 이거 이거 이 생각 했어?,entj,e,n,t,j
372,예상 못 했다~,estj,e,s,t,j
373,쉬면.. 쉬면 돼요 자유 시간입니다 자유 시간,enfj,e,n,f,j
374,이럴 줄 알았어,isfj,i,s,f,j
375,그래도 꾸미긴 했네,enfj,e,n,f,j
376,아 디게 좋은데?,estp,e,s,t,p
378,아 나쁘지 않아,estp,e,s,t,p
379,시간표 졸라 예뻐,istp,i,s,t,p
381,야 J도 나쁘지 않네~,estp,e,s,t,p
382,Q&A는 뭐야 대화하는 것? 대화하는 거?,enfp,e,n,f,p
383,아니 식사를 세 시간 동안 해?,entp,e,n,t,p
385,야 밥은 어떻게 했냐 얘네는?,entj,e,n,t,j
388,아 이거 지켜야 돼?,intj,i,n,t,j
389,1시간 동안 해야 돼,estj,e,s,t,j
390,우리 그냥 자유롭게 지내면 되잖아,isfj,i,s,f,j
391,저녁밥 한 시간?,infj,i,n,f,j
392,자유시간은 많거든? 근데 밥이 한 시간밖에 안 돼,estj,e,s,t,j
393,엄청 불편해 하고 계셔ㅋㅋ 표정 봐ㅋㅋ,isfj,i,s,f,j
394,지금 지금 지금 머릿속에서 밥을 한 시간 안에 다 하고 설거지까지 하라고?,entj,e,n,t,j
396,아 이게 식사가~ 요리하는 시간이랑 밥 먹는 시간이니까,estp,e,s,t,p
397,아니 어디 뭐 프랑스야?,entp,e,n,t,p
398,어 좋은데? 별로 다를 게 없네~,enfp,e,n,f,p
399,자 서로에게 궁금한 점을 물어보는,istp,i,s,t,p
400,근데ㅋㅋ아니 어떻게 30분을 나눴어?,entp,e,n,t,p
401,좋아 어 다행이다,enfp,e,n,f,p
402,아 나쁘지 않은데? 나는 저게 한 1분 단위로 다 나눠놨을 줄 알았는데,estp,e,s,t,p
403,3시 20분까지 Q&A를 하고 4시 반까지,entp,e,n,t,p
404,어 나도 와 나 긴장했네~,enfp,e,n,f,p
406,어 너무 편견이었나 우리?,enfp,e,n,f,p
407,J도 사람이네~,estp,e,s,t,p
409,아까 내가 말한 대로 청소 시간 독서 시간 휴식 시간 담타 이런 거 다 적었어 봐 분 단위로,istj,i,s,t,j
410,그렇게 갔었으면,entj,e,n,t,j
411,난리 났겠다 그럼 저기 지금,enfj,e,n,f,j
413,그쪽은 개이득 아닌가? 우리가 너무 좀 편하게 해 줘서?,intp,i,n,t,p
416,아 근데 그거 아무것도 안 하는걸 불편해하는 사람들이 있을 수가 있지~,entp,e,n,t,p
417,근데 걔네는 내가 볼 땐 자유시간이니까 또 지들끼리 모여가지고,estp,e,s,t,p
418,또 뭔갈 어 맞어 만들어서 할 거 같아,enfp,e,n,f,p
419,야 우리 Q&A 할까? 막 이랬을 거야,estp,e,s,t,p
420,그래 그래 그래,enfp,e,n,f,p
421,맞아 맞아 맞아 맞아 맞아,isfp,i,s,f,p
422,어차피 자유잖아,enfp,e,n,f,p
423,우리 그럼 저 시간 동안 뭐할까요?,esfj,e,s,f,j
424,우리 그냥 우리대로 가면 돼,entj,e,n,t,j
425,아까 정한 거 하면 돼,estj,e,s,t,j
426,우린 별... 우리는 그대로 가면 돼,entj,e,n,t,j
427,어 하고 싶은 거 해도 돼 진짜 자유시간이니까,estj,e,s,t,j
428,Q&A가 더 널널해졌다는 거지,entj,e,n,t,j
429,Q&A를 굳이 시간 지켜서 시작하고 끝맺을 필요가 없어졌다는 거니까,istj,i,s,t,j
430,자도 돼 자도 돼,estj,e,s,t,j
431,어 자면서 해도 되는 거지 옵션이 좀 더.. 뭐 붙었다는 거지,entj,e,n,t,j
432,와~ 나는 한 통수 맞은 게 진짜 너무 화가 난다 진짜,entj,e,n,t,j
433,저희 Q&A 한 번 할까요 Q&A?,estp,e,s,t,p
434,예 하세요 하세요 하세요,istp,i,s,t,p
435,여기 이거 지켜야 되니까 우리 한번 할까?,enfp,e,n,f,p
436,네 우리 다 지금 듣고 있어,istp,i,s,t,p
437,오케이 Q&A 한번 하고 이따가 사보타지 할까요?,estp,e,s,t,p
438,네 좋아요 좋아요,enfp,e,n,f,p
440,요기 요기 앉으세요 여기 앉으세요,entp,e,n,t,p
441,네 질문하겠습니다,esfp,e,s,f,p
442,네 누구신진 모르겠지만,istp,i,s,t,p
443,16가지의 MBTI 중 제일 궁금한 MBTI는 누구인가요?,esfp,e,s,f,p
445,MBTI만 놓고 봤을 때?,entp,e,n,t,p
449,누가 보면 통풍 잘 되는 바지 그런 느낌이야,esfj,e,s,f,j
450,어 그거 열지 마,esfj,e,s,f,j
451,아니 아니 그게 아니라 이거라고,estj,e,s,t,j
452,이것은 심의에.. 위반하는..,esfj,e,s,f,j
453,아니 아니 아니 딱 멈춰,estj,e,s,t,j
455,언제부터 이뻤어요?,esfp,e,s,f,p
456,아이고 세상에나,isfp,i,s,f,p
459,그러면 저 여기서 질문하겠습니다,istp,i,s,t,p
460,사보타지를 하기 싫은 이유가 뭐예요?,istp,i,s,t,p
461,아 이런 말 해도 되나..?,isfp,i,s,f,p
464,아니 그게 아니라,isfp,i,s,f,p
465,너무 허접이라서?,intp,i,n,t,p
466,그게 아니라 제가... 항상 이겨가지고...,isfp,i,s,f,p
467,나 져 준 거였는데,intp,i,n,t,p
468,너무 못한대 이 양반이,istp,i,s,t,p
469,나 져 준 거야~,intp,i,n,t,p
470,이상형이 뭐예요?,infp,i,n,f,p
471,아 이상형이요?,intp,i,n,t,p
473,좋은 질문이었어~,enfp,e,n,f,p
474,당황은 하지 말고 그냥ㅋㅋ 좋은 질문이라고,istp,i,s,t,p
475,어 좋은 질문이었어,enfp,e,n,f,p
476,당황했어 갑자기,istp,i,s,t,p
477,어 좋은 질문이었어,enfp,e,n,f,p
478,너무 좋았어 진짜,isfp,i,s,f,p
480,이상형은 이제 뭐 외모도 좋고 MBTI도 같이 섞어서 말해주시면 감사하겠습니다,istp,i,s,t,p
481,MBTI로는 솔직히 모르겠어 왜냐면은 제가 좋아하는 스타일은 밝은 느낌!,intp,i,n,t,p
482,ES...TJ 님,istp,i,s,t,p
485,ESF... 모르겠어요 그 그.. 웃을 때 되게 밝게 웃는 그 느낌이 있어요 제가 좀 약간 감정표현.. 을 잘 못하는 편이고,intp,i,n,t,p
486,아 웃을 때 밝게 웃는 편이면 지금 ISFP 님이... ,istp,i,s,t,p
487,저기.. 도 밝지,enfp,e,n,f,p
488,거의 웃을 때... 거의 눈에 걸리니까,istp,i,s,t,p
490,저는 좀 밝은 사람을 좋아하는 것 같아요 좀 밝고 진짜 그 긍정 에너지 넘치는 타입? 저는 약간 그 어두운 에너지 좀 뿜뿜하는 타입이어서,intp,i,n,t,p
491,아 그러면 ENTJ 형..의 여자 버전을 하면 되겠네요,istp,i,s,t,p
498,아니 한 대 때릴라고,isfj,i,s,f,j
499,왜? 왜? 나 어디 가 나 어디 가?,esfj,e,s,f,j
500,이거 줄라고 여기,isfj,i,s,f,j
501,응? 어 뭐야?,esfj,e,s,f,j
502,편지 좋아한다매,isfj,i,s,f,j
503,어 감동이야...,esfj,e,s,f,j
504,왜ㅋㅋ 왜~ 왜 울어ㅋㅋ 자꾸~ 울지 마요~,isfj,i,s,f,j
505,극 F여가지고 그래,esfj,e,s,f,j
506,울지 마~ 힘 내~ 내일 돌아갈 수 있어 내일 탈출이야,isfj,i,s,f,j
508,내일 끝나잖아 울지 마~ 편지지가 있어가지구~ 근데 아까 편지 좋아한다 해가지고,isfj,i,s,f,j
509,고마워요 이따가 읽어볼게요 아무도 없을 때,esfj,e,s,f,j
510,힘들게 하는 사람은 없었어요?,esfp,e,s,f,p
511,요즘...에 막 디엠 같은 걸로 제가 막 최근 들어 쪼끔 막 관심도 많이 받고 사랑도 많이 받아서 이런 경험이 없어서 그런지는 잘 모르겠는데 메일이나 디엠으로 굳이 막 보지 않을 나쁜 말들을 저한테 보내주는 것들이 많아서,infp,i,n,f,p
513,제가 막 바쁜 것도 되게... 요즘 피곤하고 바쁜 것도 열심히 살고 있었는데 그런 것들을 계속 받으면서 보니까 번아웃 끝까지 갈 뻔했었어요 그래서 그것도 되게...,infp,i,n,f,p
514,이런 거 다 처벌시켜야 돼,estp,e,s,t,p
517,많아요 굉장히 저런 사람들이,istp,i,s,t,p
518,무슨 심보로 그러는 거야?,estp,e,s,t,p
520,고소해야 돼요 저는 고소했습니다,istp,i,s,t,p
521,그런 게 진짜.. 진짜 막 결핍 덩어리인 사람들인 거 같아 진짜,entp,e,n,t,p
523,반응을 해주지 않고 고소를 하면 돼요 정보통신망 위반법으로,istp,i,s,t,p
524,아 너무 화난다 진짜,isfp,i,s,f,p
525,좀 진정하시구요,istp,i,s,t,p
526,막 말이 너무 심해가지구 그냥 태어나서 해보지도 못하고 당연히 해보지도 못하고 들어보지도 못한 말들 같은 거를,infp,i,n,f,p
527,막 무슨 말인지 대충 알 거 같아요,esfp,e,s,f,p
529,네 다 차단했.. 디엠은 다 보거든요?,infp,i,n,f,p
530,그래가지고 응원 글이 되게 많은데 그 사이에...,infp,i,n,f,p
531,디엠으로도 고소 안 되나?,estp,e,s,t,p
532,아 근데 외국회사여 가지고...,esfp,e,s,f,p
533,되긴 돼 정보통신망 위반법이라고 스토커 특별 방지법이 생겼거든,istp,i,s,t,p
535,근데 그 인스타그램 측에서는 개인 정보를 제공해 주지 않기 때문에 이 사람이 그 사람이라는 걸 내가 증명해 내야 돼 근데 하기는 쉬워 공개 계정이면,istp,i,s,t,p
536,보통 다 비공개,infp,i,n,f,p
537,비공개면은 힘들지 그냥 차단하는 수밖에 없어,istp,i,s,t,p
